Name,U.S. Dollar Index
2022-01-14,95.1606
2022-01-13,94.88220000000001
2022-01-12,94.9984
2022-01-11,95.59570000000001
2022-01-10,95.95299999999999
2022-01-07,95.7388
2022-01-06,96.23159999999999
2022-01-05,96.1734
2022-01-04,96.2685
2022-01-03,96.21809999999999
2021-12-31,95.9701
2021-12-30,95.9701
2021-12-29,95.9059
2021-12-28,96.1703
2021-12-27,96.0724
2021-12-24,96.13269999999999
2021-12-23,96.06020000000001
2021-12-22,96.4557
2021-12-21,96.4557
2021-12-20,96.51599999999999
2021-12-17,96.6756
2021-12-16,95.99000000000001
2021-12-15,96.3421
2021-12-14,96.5608
2021-12-13,96.35289999999999
2021-12-10,96.04960000000001
2021-12-09,96.22330000000001
2021-12-08,95.9604
2021-12-07,96.3046
2021-12-06,96.27770000000001
2021-12-03,96.17150000000001
2021-12-02,96.1246
2021-12-01,96.0407
2021-11-30,95.897
2021-11-29,96.17200000000001
2021-11-26,96.064
2021-11-25,96.786
2021-11-24,96.84299999999999
2021-11-23,96.4934
2021-11-22,96.50359999999999
2021-11-19,96.0672
2021-11-18,95.54140000000001
2021-11-17,95.7991
2021-11-16,95.91159999999999
2021-11-15,95.5242
2021-11-12,95.1166
2021-11-11,95.15070000000001
2021-11-10,94.8998
2021-11-09,93.972
2021-11-08,94.0493
2021-11-05,94.22409999999999
2021-11-04,94.3281
2021-11-03,93.86710000000001
2021-11-02,94.107
2021-11-01,93.8717
2021-10-29,94.1408
2021-10-28,93.36059999999999
2021-10-27,93.8649
2021-10-26,93.95909999999999
2021-10-25,93.83930000000001
2021-10-22,93.6116
2021-10-21,93.7562
2021-10-20,93.6112
2021-10-19,93.77969999999999
2021-10-18,93.95909999999999
2021-10-15,93.9657
2021-10-14,93.9823
2021-10-13,94.0244
2021-10-12,94.5196
2021-10-11,94.3669
2021-10-08,94.1027
2021-10-07,94.2227
2021-10-06,94.2243
2021-10-05,93.9797
2021-10-04,93.81819999999999
2021-10-01,94.0747
2021-09-30,94.2638
2021-09-29,94.3703
2021-09-28,93.7215
2021-09-27,93.42269999999999
2021-09-24,93.271
2021-09-23,93.09870000000001
2021-09-22,93.47630000000001
2021-09-21,93.2172
2021-09-20,93.2498
2021-09-17,93.2563
2021-09-16,92.8677
2021-09-15,92.4895
2021-09-14,92.6639
2021-09-13,92.6151
2021-09-10,92.63980000000001
2021-09-09,92.5094
2021-09-08,92.7157
2021-09-07,92.5393
2021-09-06,92.2235
2021-09-03,92.1331
2021-09-02,92.21669999999999
2021-09-01,92.5027
2021-08-31,92.654
2021-08-30,92.7007
2021-08-27,92.7007
2021-08-26,93.05850000000001
2021-08-25,92.822
2021-08-24,92.884
2021-08-23,92.9875
2021-08-20,93.4571
2021-08-19,93.5586
2021-08-18,93.157
2021-08-17,93.1443
2021-08-16,92.6184
2021-08-13,92.5226
2021-08-12,93.025
2021-08-11,92.91749999999999
2021-08-10,93.0629
2021-08-09,92.97659999999999
2021-08-06,92.7824
2021-08-05,92.2726
2021-08-04,92.2753
2021-08-03,92.0668
2021-08-02,92.0886
2021-07-30,92.1032
2021-07-29,91.90769999999999
2021-07-28,92.2871
2021-07-27,92.4901
2021-07-26,92.6325
2021-07-23,92.9084
2021-07-22,92.8377
2021-07-21,92.7903
2021-07-20,92.9695
2021-07-19,92.83269999999999
2021-07-16,92.7143
2021-07-15,92.5861
2021-07-14,92.3701
2021-07-13,92.7873
2021-07-12,92.24
